user_id,subject_id,subject_name,rating
Base12,10,Sistemi Centrali,
Base13,10,Sistemi Centrali,
Base14,10,Sistemi Centrali,
Base01,11,Social Media Management,5
Base02,11,Social Media Management,
Base03,11,Social Media Management,5
Base04,11,Social Media Management,4
Base05,11,Social Media Management,4
Base06,11,Social Media Management,1
Base07,11,Social Media Management,5
Base08,11,Social Media Management,4
Base09,11,Social Media Management,3
Base10,11,Social Media Management,2
Base11,11,Social Media Management,5
Base12,11,Social Media Management,3
Base13,11,Social Media Management,2
Base14,11,Social Media Management,4
Base01,12,Startup d'Impresa e Modelli di Business,3
Base02,12,Startup d'Impresa e Modelli di Business,1
Base03,12,Startup d'Impresa e Modelli di Business,4
Base04,12,Startup d'Impresa e Modelli di Business,3
Base05,12,Startup d'Impresa e Modelli di Business,4
Base06,12,Startup d'Impresa e Modelli di Business,1
Base07,12,Startup d'Impresa e Modelli di Business,2
Base08,12,Startup d'Impresa e Modelli di Business,2
Base09,12,Startup d'Impresa e Modelli di Business,
Base10,12,Startup d'Impresa e Modelli di Business,2
Base11,12,Startup d'Impresa e Modelli di Business,1
Base12,12,Startup d'Impresa e Modelli di Business,
Base13,12,Startup d'Impresa e Modelli di Business,
Base14,12,Startup d'Impresa e Modelli di Business,
Base01,13,Sviluppo di Giochi Digitali,
Base02,13,Sviluppo di Giochi Digitali,1
Base03,13,Sviluppo di Giochi Digitali,1
Base04,13,Sviluppo di Giochi Digitali,4
Base05,13,Sviluppo di Giochi Digitali,3
Base06,13,Sviluppo di Giochi Digitali,3
Base07,13,Sviluppo di Giochi Digitali,5
Base08,13,Sviluppo di Giochi Digitali,2
Base09,13,Sviluppo di Giochi Digitali,5
Base10,13,Sviluppo di Giochi Digitali,2
Base11,13,Sviluppo di Giochi Digitali,
Base12,13,Sviluppo di Giochi Digitali,
Base13,13,Sviluppo di Giochi Digitali,
Base14,13,Sviluppo di Giochi Digitali,
Base01,14,Technologies for Advanced Programming,
Base02,14,Technologies for Advanced Programming,5
Base03,14,Technologies for Advanced Programming,1
Base04,14,Technologies for Advanced Programming,4
Base05,14,Technologies for Advanced Programming,3
Base06,14,Technologies for Advanced Programming,3
Base07,14,Technologies for Advanced Programming,5
Base08,14,Technologies for Advanced Programming,5
Base09,14,Technologies for Advanced Programming,5
Base10,14,Technologies for Advanced Programming,2
Base11,14,Technologies for Advanced Programming,4
Base12,14,Technologies for Advanced Programming,
Base13,14,Technologies for Advanced Programming,4
Base14,14,Technologies for Advanced Programming,5
Base01,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,
Base02,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,2
Base03,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,1
Base04,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,4
Base05,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,5
Base06,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,5
Base07,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,5
Base08,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,4
Base09,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,5
Base10,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,2
Base11,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,
Base12,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,
Base13,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,4
Base14,15,Tecnologie per i sistemi Distribuiti e il Web e Laboratorio,4
Base01,16,"Web Programming, Design & Usability",5
Base02,16,"Web Programming, Design & Usability",4
